 TIME                    	Power                    	Power                    	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.0000000000000000E+02	
  +5.0000000000000003E-02	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.0000000000000001E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.4999999999999999E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.0000000000000001E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.5000000000000000E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.9999999999999999E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.4999999999999998E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.0000000000000002E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.5000000000000001E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.0000000000000000E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.5000000000000004E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.9999999999999998E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.5000000000000002E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.9999999999999996E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.5000000000000000E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.0000000000000004E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.4999999999999998E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +9.0000000000000002E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +9.4999999999999996E-01	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.0000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.0500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.1000000000000001E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.1499999999999999E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.2000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.2500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.3000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.3500000000000001E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.3999999999999999E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.4500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.5000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.5500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.6000000000000001E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.6499999999999999E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.7000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.7500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.8000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.8500000000000001E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.8999999999999999E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +1.9500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.0000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.0499999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.1000000000000001E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.1499999999999999E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.2000000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.2500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.2999999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.3500000000000001E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.3999999999999999E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.4500000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.5000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.5499999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.6000000000000001E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.6499999999999999E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.7000000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.7500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.7999999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.8500000000000001E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.8999999999999999E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +2.9500000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.0000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.0499999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.1000000000000001E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.1499999999999999E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.2000000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.2500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.2999999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.3500000000000001E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.3999999999999999E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.4500000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.5000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.5499999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.6000000000000001E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.6499999999999999E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
